frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
integer[]|integer[]|numeric[]|text|numeric[]

{{1,4,3,3},{4,1,2,2},{4,1,2,2},{2,4,3,4},{1,0,0,1},{1,0,0,1},{3,1,2,1},{4,1,2,2},{3,1,2,1},{4,0,0,4},{2,4,3,4},{4,1,2,2},{1,4,3,3},{1,0,0,1},{2,4,3,4},{1,4,3,3},{2,4,3,4},{4,0,0,4},{4,0,0,4},{1,4,3,3},{1,4,3,3},{4,0,0,4},{4,1,2,2}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{19,-12,9,-4,6,0,1}|5.2.81.4|{-1,-3,0,1}
{{3,1,1,4},{4,4,1,0},{1,1,1,2},{3,1,0,2},{4,2,3,3},{3,1,0,2},{4,4,1,0},{3,1,1,4},{4,2,3,3},{3,1,0,2},{3,1,1,4},{4,2,3,3},{1,4,1,0},{4,4,1,0},{1,4,1,0},{3,1,0,2},{1,4,1,0},{4,2,3,3},{3,2,2,0},{3,2,2,0},{3,1,0,2},{3,1,0,2},{1,4,1,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-80364889320740,-158679683924595,238094385271320,682528149820175,180766061035336,-424820159512135,-207072836870080,86737017347895,56826491779830,-6799225485646,-7020360155580,112770881970,469591080425,12199790705,-18864236324,-785095315,478927075,20618945,-7758355,-279541,77470,1895,-430,-5,1}|5.2.909.1|{-36461,-28785,-6565,-505,0,1}
{{2,4,4,1},{3,4,0,2},{3,4,2,3},{3,4,0,2},{2,4,2,2},{2,4,2,2},{2,4,4,1},{3,4,2,3},{1,0,1,1},{3,2,2,0},{3,4,0,2},{3,2,2,0},{3,4,2,3},{2,4,4,1},{2,4,2,2},{2,4,2,2},{3,4,0,2},{3,4,0,2},{3,4,2,3},{2,4,4,1},{2,4,2,2},{3,2,2,0},{3,2,2,0}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-304488607919,-6179435098,3940856911069,-1815956971582,-11743162255609,8703222706182,6528281428199,-5500509960312,-1517253437399,1431625890572,167664602754,-195430195292,-7887807499,15496716992,-68865356,-744548412,25013701,21713652,-1164841,-369772,24996,3322,-256,-12,1}|5.2.524.1|{830278,112660,-2620,-655,0,1}
{{0,3,3,4},{1,0,4,1},{0,3,3,4},{0,3,3,4},{0,3,3,0},{4,0,3,4},{0,3,3,0},{0,3,3,0},{0,3,3,0},{0,3,3,4},{0,3,3,0},{1,3,0,1},{4,0,3,4},{4,0,3,4},{0,3,3,0},{4,0,3,4},{0,3,3,0},{1,0,4,1},{1,3,3,0},{1,3,3,0},{0,3,3,4},{1,0,0,1},{0,3,3,4},{0,3,3,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-58812902208,666481585680,-766293834236,-2930816313169,6324738628597,-1741580619196,-3767990768755,1865186769183,1095048126717,-581451996696,-211583444397,87756401310,27985897706,-6755996166,-2248510132,264680116,103408550,-5051123,-2717067,35586,40241,125,-313,-2,1}|5.2.281.1|{14124184,1175985,-22480,-2810,0,1}
{{4,0,4,4},{1,0,4,1},{3,3,1,3},{4,2,4,1},{3,3,1,3},{4,2,4,1},{3,2,1,1},{4,0,3,4},{4,2,4,1},{3,3,1,3},{3,3,1,3},{3,3,1,3},{4,0,4,4},{3,2,1,1},{4,0,3,4},{4,0,4,4},{3,2,1,1},{3,2,1,1},{4,0,0,4},{4,2,4,1},{3,3,1,3},{1,0,4,1},{4,2,4,1},{4,2,4,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-11930260491,18493980114,107354756683,-56733160359,-372587586101,-119695546165,421402246845,358652992710,-55285330255,-162306310610,-40265510574,20805286421,10053973327,-719690996,-938709064,-33043090,46923680,3312050,-1406875,-100580,25541,1311,-253,-6,1}|5.2.101.1|{-344309,-140390,-19695,-1010,0,1}
{{4,4,4,3},{4,0,1,4},{3,4,3,1},{3,4,3,1},{2,3,3,0},{3,2,0,2},{3,2,0,2},{3,4,3,1},{2,1,2,4},{2,1,2,4},{4,0,3,4},{2,1,2,4},{3,4,3,1},{2,1,2,4},{2,1,2,4},{3,4,3,1},{3,2,0,2},{2,3,3,0},{4,0,3,4},{2,1,2,4},{4,4,4,3}}|{7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-293628671,11535186874,-51829927463,-99008193962,130822537076,187177702658,-115852957342,-146525079946,49134895691,56726588872,-12210339494,-11946024524,2076631313,1453999342,-244290356,-103701848,18483107,4205516,-831226,-88522,20294,784,-233,-2,1}|5.2.396.1|{6424,1760,-330,-110,0,1}
{{3,2,2,0},{1,0,2,1},{2,3,4,4},{3,2,1,1},{1,1,1,2},{1,3,1,4},{1,3,1,4},{2,3,4,4},{2,3,4,4},{3,2,1,1},{1,0,4,1},{3,2,1,1},{3,2,1,1},{2,3,4,4},{3,2,1,1},{3,2,1,1},{1,3,1,4},{1,0,4,1},{1,0,4,1},{2,3,4,4},{3,2,2,0}}|{7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-86317520,-359688400,1143963600,7504569800,9410833240,-5108537912,-15297662180,-2060589840,8984871800,2560436402,-2872480764,-890873730,570743715,157555965,-73027716,-15965708,5976725,959910,-304805,-33772,9229,640,-150,-5,1}|5.2.396.2|{6424,1760,-330,-110,0,1}
{{4,3,2,3},{4,2,0,4},{2,1,3,2},{2,0,3,3},{2,1,3,2},{2,0,3,3},{2,1,3,2},{1,1,0,1},{2,0,3,3},{3,4,2,3},{2,1,3,2},{3,4,2,3},{4,3,2,3},{3,4,2,3},{1,1,0,1},{4,2,0,4},{2,1,3,2},{3,4,2,3},{4,0,0,4},{2,0,3,3},{3,4,2,3},{4,2,0,4},{2,0,3,3},{2,0,3,3}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-34134578,109686925,1019135347,-844946606,-10157042519,-10850988372,9619877285,20459531328,3884487026,-9602775241,-4796226914,1480185605,1306900521,-48255683,-169012147,-9045410,12241520,1033470,-523810,-43930,13142,840,-178,-6,1}|5.2.101.2|{-344309,-140390,-19695,-1010,0,1}
